ligand	receptor
A2M	LRP1
AANAT	MTNR1A
AANAT	MTNR1B
ACE	AGTR2
ACE	BDKRB2
ACTR2	ADRB2
ACTR2	LDLR
ACTR2	LRP2
ADAM10	AXL
ADAM10	EPHA3
ADAM12	ITGA9
ADAM12	ITGB1
ADAM12	SDC4
ADAM15	ITGA5
ADAM15	ITGA9
ADAM15	ITGAV
ADAM15	ITGB1
ADAM15	ITGB3
ADAM17	ERBB4
ADAM17	ITGA5
ADAM17	ITGB1
ADAM17	NOTCH1
ADAM23	ITGA5
ADAM23	ITGB3
ADAM28	ITGA4
ADAM2	CD9
ADAM2	ITGA6
ADAM2	ITGA9
ADAM2	ITGB1
ADAM2	ITGB7
ADAM9	ITGA3
ADAM9	ITGA6
ADAM9	ITGAV
ADAM9	ITGB1
ADAM9	ITGB5
ADCYAP1	ADCYAP1R1
ADCYAP1	ADRB2
ADCYAP1	ADRB3
ADCYAP1	GPR20
ADCYAP1	GPR84
ADCYAP1	PTH1R
ADCYAP1	RAMP2
ADCYAP1	RAMP3
ADCYAP1	SCTR
ADCYAP1	TSHR
ADCYAP1	VIPR1
ADCYAP1	VIPR2
ADIPOQ	ADIPOR1
ADIPOQ	ADIPOR2
ADM2	ADCYAP1R1
ADM2	ADRB2
ADM2	ADRB3
ADM2	CALCR
ADM2	CALCRL
ADM2	GPR20
ADM2	GPR84
ADM2	PTH1R
ADM2	RAMP1
ADM2	RAMP2
ADM2	RAMP3
ADM2	TSHR
ADM2	VIPR1
ADM	ADCYAP1R1
ADM	ADRB2
ADM	ADRB3
ADM	CALCR
ADM	CALCRL
ADM	GPR182
ADM	GPR20
ADM	GPR84
ADM	MRGPRX2
ADM	PTH1R
ADM	RAMP2
ADM	RAMP3
ADM	TSHR
ADM	VIPR1
AGRN	ATP1A3
AGRN	ITGB1
AGRN	LRP1
AGRN	LRP2
AGRN	LRP4
AGRN	MUSK
AGRP	MC3R
AGRP	MC4R
AGRP	MC5R
AGRP	SDC3
AGT	ADRA2A
AGT	AGTR1
AGT	AGTR2
AGT	GRM7
AGT	LRP2
AGT	MAS1
AGT	MTNR1A
AHSG	INSR
ALB	LRP2
ALOX5AP	ALOX5
AMELX	LAMP1
AMELY	LAMP1
AMH	ACVR1
AMH	AMHR2
AMH	EGFR
ANGPT1	ITGA5
ANGPT1	ITGB1
ANGPT1	TEK
ANGPT1	TIE1
ANGPT2	TEK
ANGPT2	TIE1
ANGPT4	TEK
ANGPT4	TIE1
ANGPTL1	TEK
ANGPTL2	TIE1
ANGPTL3	ITGA5
ANGPTL3	ITGAV
ANGPTL3	ITGB3
ANGPTL4	TIE1
ANOS1	FGFR1
ANOS1	SDC2
ANXA1	ADRA2A
ANXA1	DYSF
ANXA1	EGFR
ANXA1	FPR1
ANXA1	FPR2
ANXA1	FPR3
ANXA1	GRM7
ANXA1	MTNR1A
APLN	ADRA2A
APLN	APLNR
APLN	GRM7
APLN	MTNR1A
APOA1	LDLR
APOA1	LRP1
APOA1	LRP2
APOA2	LDLR
APOA2	LRP1
APOA2	LRP2
APOA4	LDLR
APOA4	LRP1
APOA4	LRP2
APOB	ADRB2
APOB	CALCR
APOB	ITGAM
APOB	ITGB2
APOB	LDLR
APOB	LRP1
APOB	LRP2
APOB	LRP6
APOB	LRP8
APOB	LSR
APOB	MTTP
APOB	OLR1
APOB	TLR4
APOB	TLR6
APOB	VLDLR
APOC1	VLDLR
APOC2	LDLR
APOC2	LRP1
APOC2	LRP2
APOC3	LDLR
APOC3	LRP1
APOC3	LRP2
APOC3	SDC2
APOC3	TLR2
APOC4	VLDLR
APOD	LEPR
APOE	CHRNA4
APOE	LDLR
APOE	LRP1
APOE	LRP2
APOE	LRP5
APOE	LRP8
APOE	SCARB1
APOE	SORL1
APOE	VLDLR
APP	ADRA2A
APP	CAV1
APP	CD74
APP	FPR2
APP	GPC1
APP	GRM7
APP	LRP1
APP	MTNR1A
APP	NCSTN
APP	NGFR
APP	SLC45A3
APP	TNFRSF21
AREG	EGFR
AREG	ERBB3
ARF1	CHRM3
ARF1	INSR
ARF1	PLD2
ARPC5	ADRB2
ARPC5	LDLR
ARPC5	LRP2
ARTN	GFRA1
ARTN	GFRA2
ARTN	GFRA3
ARTN	RET
ASIP	ATRN
ASIP	F11R
ASIP	MC1R
ASIP	MC2R
ASIP	MC3R
ASIP	MC4R
ASIP	MC5R
ASIP	MGRN1
AVP	ADCYAP1R1
AVP	ADRB2
AVP	ADRB3
AVP	AVPR1A
AVP	AVPR1B
AVP	AVPR2
AVP	GPR20
AVP	GPR84
AVP	LDLR
AVP	LRP2
AVP	OXTR
AVP	PTH1R
AVP	RAMP2
AVP	RAMP3
AVP	TSHR
AVP	VIPR1
AZGP1	ITGAV
B2M	CD1A
B2M	CD1B
B2M	CD247
B2M	CD3D
B2M	CD3G
B2M	HFE
B2M	HLA-F
B2M	KIR2DL1
B2M	KIR2DL3
B2M	KIR3DL1
B2M	KLRC1
B2M	KLRC2
B2M	KLRD1
B2M	LILRB1
B2M	LILRB2
B2M	TFRC
BCAN	EGFR
BCAN	NRCAM
BDNF	DDR1
BDNF	DRD4
BDNF	NGFR
BDNF	NGFRAP1
BDNF	NTRK2
BDNF	SORT1
BGN	LY96
BGN	TLR1
BGN	TLR2
BGN	TLR4
BMP10	ACVR2A
BMP10	ACVRL1
BMP10	BMPR1A
BMP10	BMPR1B
BMP10	BMPR2
BMP10	ENG
BMP15	BMPR1A
BMP15	BMPR1B
BMP15	BMPR2
BMP2	ACVR1
BMP2	ACVR2B
BMP2	BMPR1A
BMP2	BMPR1B
BMP2	BMPR2
BMP2	ENG
BMP2	HFE2
BMP4	BMPR1A
BMP4	BMPR1B
BMP4	BMPR2
BMP4	HFE2
BMP5	BMPR1A
BMP5	BMPR1B
BMP5	BMPR2
BMP5	HFE2
BMP6	ACVR1
BMP6	ACVR2A
BMP6	BMPR1A
BMP6	BMPR1B
BMP6	BMPR2
BMP7	ACVR1
BMP7	ACVR2A
BMP7	ACVR2B
BMP7	BMPR1A
BMP7	BMPR1B
BMP7	BMPR2
BMP7	ENG
BMP8A	BMPR1A
BMP8A	BMPR1B
BMP8A	BMPR2
BMP8B	BMPR1A
BMP8B	BMPR1B
BMP8B	BMPR2
BST1	CAV1
BTC	EGFR
BTC	ERBB2
BTC	ERBB3
BTC	ERBB4
BTLA	CD247
BTLA	CD79A
BTLA	TNFRSF14
BTLA	VTCN1
C1QA	CD93
C1QA	CR1
C1QA	CSPG4
C1QB	LRP1
C1QTNF1	AVPR2
C1QTNF5	MFRP
C1orf112	PLSCR4
C1orf194	PLSCR4
C3	ADRA2A
C3	C3AR1
C3	C5AR2
C3	CD19
C3	CD46
C3	CD81
C3	CR1
C3	GRM7
C3	IFITM1
C3	ITGAM
C3	ITGAX
C3	ITGB2
C3	LRP1
C3	MTNR1A
C4A	C3AR1
C4A	C5AR2
C4A	CR1
C4BPA	BMPR2
C4BPA	CD40
C4BPA	LRP1
C4B	CD46
C4B	CR1
C5	ADRA2A
C5	C5AR1
C5	C5AR2
C5	GRM7
